Pair 15[4]: Avg MSE: 462.14, Avg SSIM: 0.88
Pair 15[5]: Avg MSE: 445.30, Avg SSIM: 0.87
Pair 15[6]: Avg MSE: 566.60, Avg SSIM: 0.84
Pair 15[7]: Avg MSE: 886.51, Avg SSIM: 0.81
Pair 15[8]: Avg MSE: 1486.62, Avg SSIM: 0.78
Pair 15[9]: Avg MSE: 2433.52, Avg SSIM: 0.74
Pair 15[10]: Avg MSE: 3728.72, Avg SSIM: 0.71
Pair 16[1]: Avg MSE: 1309.96, Avg SSIM: 0.90
Pair 16[2]: Avg MSE: 1070.88, Avg SSIM: 0.90
Pair 16[3]: Avg MSE: 876.85, Avg SSIM: 0.90
Pair 16[4]: Avg MSE: 723.06, Avg SSIM: 0.90
Pair 16[5]: Avg MSE: 622.01, Avg SSIM: 0.89
Pair 16[6]: Avg MSE: 581.57, Avg SSIM: 0.88
Pair 16[7]: Avg MSE: 614.47, Avg SSIM: 0.86
Pair 16[8]: Avg MSE: 745.20, Avg SSIM: 0.84
Pair 16[9]: Avg MSE: 1001.19, Avg SSIM: 0.81
Pair 16[10]: Avg MSE: 1408.49, Avg SSIM: 0.78
Pair 17[1]: Avg MSE: 1000.30, Avg SSIM: 0.87
Pair 17[2]: Avg MSE: 714.73, Avg SSIM: 0.89
Pair 17[3]: Avg MSE: 488.31, Avg SSIM: 0.89
Pair 17[4]: Avg MSE: 339.27, Avg SSIM: 0.89
Pair 17[5]: Avg MSE: 315.13, Avg SSIM: 0.87
Pair 17[6]: Avg MSE: 464.42, Avg SSIM: 0.85
Pair 17[7]: Avg MSE: 855.92, Avg SSIM: 0.81
Pair 17[8]: Avg MSE: 1579.41, Avg SSIM: 0.77
Pair 17[9]: Avg MSE: 2713.05, Avg SSIM: 0.73
Pair 17[10]: Avg MSE: 4162.89, Avg SSIM: 0.69
Pair 18[1]: Avg MSE: 1056.91, Avg SSIM: 0.90
Pair 18[2]: Avg MSE: 795.51, Avg SSIM: 0.91
Pair 18[3]: Avg MSE: 598.49, Avg SSIM: 0.91
Pair 18[4]: Avg MSE: 479.62, Avg SSIM: 0.90
Pair 18[5]: Avg MSE: 437.68, Avg SSIM: 0.88
Pair 18[6]: Avg MSE: 497.75, Avg SSIM: 0.85
Pair 18[7]: Avg MSE: 708.36, Avg SSIM: 0.82
Pair 18[8]: Avg MSE: 1104.46, Avg SSIM: 0.79
