Pair 30[7]: Avg MSE: 254.56, Avg SSIM: 0.90
Pair 30[8]: Avg MSE: 264.55, Avg SSIM: 0.90
Pair 30[9]: Avg MSE: 271.61, Avg SSIM: 0.90
Pair 30[10]: Avg MSE: 282.30, Avg SSIM: 0.90
Pair 31[1]: Avg MSE: 143.79, Avg SSIM: 0.93
Pair 31[2]: Avg MSE: 159.40, Avg SSIM: 0.93
Pair 31[3]: Avg MSE: 173.54, Avg SSIM: 0.93
Pair 31[4]: Avg MSE: 184.84, Avg SSIM: 0.93
Pair 31[5]: Avg MSE: 194.73, Avg SSIM: 0.93
Pair 31[6]: Avg MSE: 203.90, Avg SSIM: 0.92
Pair 31[7]: Avg MSE: 212.98, Avg SSIM: 0.92
Pair 31[8]: Avg MSE: 220.71, Avg SSIM: 0.92
Pair 31[9]: Avg MSE: 228.22, Avg SSIM: 0.92
Pair 31[10]: Avg MSE: 234.15, Avg SSIM: 0.92
Pair 32[1]: Avg MSE: 417.53, Avg SSIM: 0.92
Pair 32[2]: Avg MSE: 446.58, Avg SSIM: 0.91
Pair 32[3]: Avg MSE: 471.92, Avg SSIM: 0.91
Pair 32[4]: Avg MSE: 491.25, Avg SSIM: 0.91
Pair 32[5]: Avg MSE: 512.98, Avg SSIM: 0.91
Pair 32[6]: Avg MSE: 535.39, Avg SSIM: 0.91
Pair 32[7]: Avg MSE: 556.35, Avg SSIM: 0.91
Pair 32[8]: Avg MSE: 575.00, Avg SSIM: 0.91
Pair 32[9]: Avg MSE: 591.00, Avg SSIM: 0.90
Pair 32[10]: Avg MSE: 605.97, Avg SSIM: 0.90
Pair 33[1]: Avg MSE: 422.30, Avg SSIM: 0.86
Pair 33[2]: Avg MSE: 439.86, Avg SSIM: 0.86
Pair 33[3]: Avg MSE: 454.62, Avg SSIM: 0.86
Pair 33[4]: Avg MSE: 467.88, Avg SSIM: 0.86
Pair 33[5]: Avg MSE: 482.12, Avg SSIM: 0.86
Pair 33[6]: Avg MSE: 495.84, Avg SSIM: 0.86
